"Specific Product Standard","Product","Quality","Form","Country / Region","Producer Scope","Price level (INCOTERMS)","Currency / Unit","Fairtrade minimum price","Fairtrade premium","Date of validity","Product specific information"
"Fresh Fruit","Banana","Conventional","Fresh","ACP countries without country specific prices","SPO / HL","FOB","USD/18.14 kg","10.85","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Cameroon","SPO / HL","EXW","EUR/18.14 kg","6.45","0.9","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Cameroon","SPO / HL","FOB","EUR/18.14 kg","8.75","0.9","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Colombia","SPO / HL","EXW","USD/18.14 kg","7.2","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Colombia","SPO / HL","FOB","USD/18.14 kg","9.8","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Costa Rica","SPO / HL","EXW","USD/18.14 kg","6.6","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Costa Rica","SPO / HL","FOB","USD/18.14 kg","9.75","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Dominican Republic","SPO / HL","EXW","USD/18.14 kg","7.15","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Dominican Republic","SPO / HL","FOB","USD/18.14 kg","11","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Ecuador","SPO / HL","EXW","USD/18.14 kg","6.55","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Ecuador","SPO / HL","FOB","USD/18.14 kg","9.35","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Ghana","SPO / HL","EXW","EUR/18.14 kg","6.5","0.9","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Ghana","SPO / HL","FOB","EUR/18.14 kg","8.85","0.9","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Nicaragua","SPO / HL","EXW","USD/18.14 kg","6.85","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Nicaragua","SPO / HL","FOB","USD/18.14 kg","9.4","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Non-ACP countries without country specific prices","SPO / HL","EXW","USD/18.14 kg","6.8","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Non-ACP countries without country specific prices","SPO / HL","FOB","USD/18.14 kg","9.65","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Panama","SPO / HL","EXW","USD/18.14 kg","6.85","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Panama","SPO / HL","FOB","USD/18.14 kg","9.9","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Windward Islands","SPO / HL","EXW","USD/18.14 kg","8.95","1","1/Jan/20",""
"Fresh Fruit","Banana","Conventional","Fresh","Windward Islands","SPO / HL","FOB","USD/18.14 kg","12.2","1","1/Jan/20",""
"Fresh Fruit","Banana","Organic","for drying","Worldwide","SPO / HL","EXW","USD/MT","160","22.5","10/Feb/10",""
"Fresh Fruit","Banana","Organic","for processing","Worldwide","SPO / HL","EXW","USD/MT","160","22.5","12/Feb/16",""
"Fresh Fruit","Banana","Organic","Fresh","ACP countries without country specific prices","SPO / HL","EXW","USD/18.14 kg","10.3","1","1/Jan/20",""
"Fresh Fruit","Banana","Organic","Fresh","ACP countries without country specific prices","SPO / HL","FOB","USD/18.14 kg","13.55","1","1/Jan/20",""
"Fresh Fruit","Banana","Organic","Fresh","Dominican Republic","SPO / HL","EXW","USD/18.14 kg","9.75","1","1/Jan/20",""
"Fresh Fruit","Banana","Organic","Fresh","Dominican Republic","SPO / HL","FOB","USD/18.14 kg","13.6","1","1/Jan/20",""
"Fresh Fruit","Banana","Organic","Fresh","Ecuador","SPO / HL","EXW","USD/18.14 kg","9.3","1","1/Jan/20",""
"Fresh Fruit","Banana","Organic","Fresh","Ecuador","SPO / HL","FOB","USD/18.14 kg","12.2","1","1/Jan/20",""
"Fresh Fruit","Banana","Organic","Fresh","Ghana","SPO / HL","EXW","EUR/18.14 kg","9.5","0.9","1/Jan/20",""
"Fresh Fruit","Banana","Organic","Fresh","Ghana","SPO / HL","FOB","EUR/18.14 kg","11.8","0.9","1/Jan/20",""
"Fresh Fruit","Banana","Organic","Fresh","Non-ACP countries without country specific prices","SPO / HL","EXW","USD/18.14 kg","9.15","1","1/Jan/20",""
"Fresh Fruit","Banana","Organic","Fresh","Non-ACP countries without country specific prices","SPO / HL","FOB","USD/18.14 kg","12.3","1","1/Jan/20",""
"Fresh Fruit","Banana","Organic","Fresh","Peru","SPO / HL","EXW","USD/18.14 kg","8.95","1","1/Jan/20",""
"Fresh Fruit","Banana","Organic","Fresh","Peru","SPO / HL","FOB","USD/18.14 kg","12.35","1","1/Jan/20",""
"Fresh Fruit","Baobab","Conventional","for processing","Africa","SPO","EXW","USD/kg","Commercial price","0.05","15/Jul/10",""
"Fresh Fruit","Baobab","Organic","for processing","Africa","SPO","EXW","USD/kg","Commercial price","0.05","15/Jul/10",""
"Fresh Fruit","Blackcurrant  (Ribes nigrum)","Conventional","for processing","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","4/Sep/13",""
"Fresh Fruit","Blackcurrant  (Ribes nigrum)","Conventional","fresh","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","4/Sep/13",""
"Fresh Fruit","Blackcurrant  (Ribes nigrum)","Organic","for processing","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","4/Sep/13",""
"Fresh Fruit","Blackcurrant  (Ribes nigrum)","Organic","fresh","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","4/Sep/13",""
"Fresh Fruit","Blueberry","Conventional","for drying","Worldwide","SPO","EXW/FOB","USD/kg","Commercial price","0.5","15/Jul/10",""
"Fresh Fruit","Blueberry","Conventional","for processing","Worldwide","SPO / HL","EXW/FOB","USD/kg","Commercial price","0.5","15/Jul/10",""
"Fresh Fruit","Blueberry","Conventional","","Worldwide","SPO / HL","EXW/FOB","USD/kg","Commercial price","0.75","15/Jul/10",""
"Fresh Fruit","Blueberry","Organic","for drying","Worldwide","SPO","EXW/FOB","USD/kg","Commercial price","0.5","15/Jul/10",""
"Fresh Fruit","Blueberry","Organic","for processing","Worldwide","SPO / HL","EXW/FOB","USD/kg","Commercial price","0.5","15/Jul/10",""
"Fresh Fruit","Blueberry","Organic","","Worldwide","SPO / HL","EXW/FOB","USD/kg","Commercial price","0.75","15/Jul/10",""
"Fresh Fruit","Cherry","Conventional","for drying","Pakistan","CP","EXW","GBP/kg","Commercial price","0.11","1/Feb/11","already certified operators"
"Fresh Fruit","Cherry","Conventional","for drying","Worldwide","SPO","EXW","USD/kg","Commercial price","0.12","1/Feb/11",""
"Fresh Fruit","Cherry","Conventional","for processing","Worldwide","SPO / HL","EXW","-","Commercial price","12% of the commercial price","15/Jul/11",""
"Fresh Fruit","Cherry","Conventional","unpacked","Worldwide","SPO / HL","EXW","-","Commercial price","12% of the commercial price","15/Jul/11",""
"Fresh Fruit","Cherry","Organic","for drying","Pakistan","CP","EXW","GBP/kg","Commercial price","0.11","1/Feb/11","already certified operators"
"Fresh Fruit","Cherry","Organic","for drying","Worldwide","SPO","EXW","USD/kg","Commercial price","0.12","1/Feb/11",""
"Fresh Fruit","Cherry","Organic","for processing","Worldwide","SPO / HL","EXW","-","Commercial price","12% of the commercial price","15/Jul/11",""
"Fresh Fruit","Cherry","Organic","unpacked","Worldwide","SPO / HL","EXW","-","Commercial price","12% of the commercial price","15/Jul/11",""
"Fresh Fruit","Date","Conventional","for drying","Egypt","SPO","EXW","EUR/kg","0.6","0.09","15/Aug/11","farm-gate; bulk packed; pre-processing"
"Fresh Fruit","Date","Conventional","for drying","Tunisia","SPO","EXW","EUR/kg","0.81","0.15","before 2004",""
"Fresh Fruit","Date","Conventional","for processing","Tunisia","SPO / HL","EXW","EUR/Kg","0.81","0.15","23/Jan/17",""
"Fresh Fruit","Date","Organic","for drying","Egypt","SPO","EXW","EUR/kg","0.64","0.09","15/Aug/11","farm-gate; bulk packed; pre-processing"
"Fresh Fruit","Date","Organic","for drying","Tunisia","SPO","EXW","EUR/kg","0.89","0.15","before 2004",""
"Fresh Fruit","Date","Organic","for processing","Tunisia","SPO / HL","EXW","EUR/Kg","0.89","0.15","23/Jan/17",""
"Fresh Fruit","Dragon Fruit","Conventional","for processing","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","5/Dec/14",""
"Fresh Fruit","Dragon Fruit","Conventional","Fresh","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","5/Dec/14",""
"Fresh Fruit","Dragon Fruit","Organic","for processing","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","5/Dec/14",""
"Fresh Fruit","Dragon Fruit","Organic","Fresh","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","5/Dec/14",""
"Fresh Fruit","Grapefruit  (Citrus x paradis)","Conventional","for processing","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","30/Jul/12",""
"Fresh Fruit","Grapefruit  (Citrus x paradis)","Conventional","","Mexico","SPO / HL","EXW","USD/kg","0.39","0.06","14/Aug/08","including packing"
"Fresh Fruit","Grapefruit  (Citrus x paradis)","Conventional","","Northern Africa","SPO / HL","EXW","USD/kg","0.52","0.07","10/Feb/10",""
"Fresh Fruit","Grapefruit  (Citrus x paradis)","Conventional","","Northern Africa","SPO / HL","FOB","USD/kg","0.56","0.07","10/Feb/10",""
"Fresh Fruit","Grapefruit  (Citrus x paradis)","Conventional","","South Africa","SPO / HL","EXW","ZAR/kg","2.9","0.39","1/Aug/07","including packing"
"Fresh Fruit","Grapefruit  (Citrus x paradis)","Conventional","","South Africa","SPO / HL","FOB","ZAR/kg","3.84","0.39","1/Aug/07",""
"Fresh Fruit","Grapefruit  (Citrus x paradis)","Organic","for processing","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","30/Jul/12",""
"Fresh Fruit","Grapefruit  (Citrus x paradis)","Organic","","Mexico","SPO / HL","EXW","USD/kg","0.46","0.06","14/Aug/08","including packing"
"Fresh Fruit","Grapefruit  (Citrus x paradis)","Organic","","Northern Africa","SPO / HL","EXW","USD/kg","0.62","0.07","10/Feb/10",""
"Fresh Fruit","Grapefruit  (Citrus x paradis)","Organic","","Northern Africa","SPO / HL","FOB","USD/kg","0.66","0.07","10/Feb/10",""
"Fresh Fruit","Jackfruit  (Artocarpus heterophyllus)","Conventional","for processing","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","19/Oct/18",""
"Fresh Fruit","Jackfruit  (Artocarpus heterophyllus)","Conventional","fresh","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","19/Oct/18",""
"Fresh Fruit","Jackfruit  (Artocarpus heterophyllus)","Organic","for processing","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","19/Oct/18",""
"Fresh Fruit","Jackfruit  (Artocarpus heterophyllus)","Organic","fresh","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","19/Oct/18",""
"Fresh fruit","Langsat  (Lansium domesticum)","Conventional","fresh","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the Commercial price","13/Apr/18",""
"Fresh fruit","Langsat  (Lansium domesticum)","Organic","fresh","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the Commercial price","13/Apr/18",""
"Fresh Fruit","Lemon","Conventional","for processing","Morocco","SPO / HL","EXW","-","Commercial price","15% of the commercial price","18/Jan/19",""
"Fresh Fruit","Lemon","Conventional","","Argentina","SPO / HL","EXW","USD/kg","0.08","0.015","4/May/06","pre-packed"
"Fresh Fruit","Lemon","Conventional","","Egypt","SPO / HL","FOB","EUR/kg","0.25","0.04","22/Sep/06",""
"Fresh Fruit","Lemon","Conventional","","South Africa","SPO / HL","FOB","ZAR/kg","3.05","0.45","21/Mar/05",""
"Fresh Fruit","Lemon","Organic","for processing","Morocco","SPO / HL","EXW","-","Commercial price","15% of the commercial price","18/Jan/19",""
"Fresh Fruit","Lemon","Organic","for processing","Peru","SPO / HL","EXW","USD/MT","130","20","4/May/06",""
"Fresh Fruit","Lemon","Organic","","Egypt","SPO / HL","FOB","EUR/kg","0.31","0.04","22/Jan/08",""
"Fresh Fruit","Lime","Conventional","for processing","worldwide","SPO / HL","FOB","USD/kg","Commercial price","15% of the commercial price","1-Jan-21",""
"Fresh Fruit","Lime","Conventional","packed","Central America, Mexico, and the Caribbean","SPO / HL","FOB","USD/kg","0.97","0.12","1-Jan-21",""
"Fresh Fruit","Lime","Conventional","packed","Colombia","SPO / HL","FOB","USD/kg","0.94","0.12","1-Jan-21",""
"Fresh Fruit","Lime","Conventional","packed","South America (except Colombia)","SPO / HL","FOB","USD/kg","0.73","0.07","1-Jan-21",""
"Fresh Fruit","Lime","Conventional","packed","Southern Asia","SPO / HL","FOB","USD/kg","0.55","0.12","1-Jan-21",""
"Fresh Fruit","Lime","Conventional","packed","worldwide (exc. countries/regions with specific prices)","SPO / HL","FOB","USD/kg","0.97","0.12","1-Jan-21",""
"Fresh Fruit","Lime","Conventional","unpacked","Central America, Mexico, and the Caribbean","SPO / HL","EXW","USD/kg","0.67","0.12","1-Jan-21",""
"Fresh Fruit","Lime","Conventional","unpacked","Colombia","SPO / HL","EXW","USD/kg","0.74","0.12","1-Jan-21",""
"Fresh Fruit","Lime","Conventional","unpacked","South America (except Colombia)","SPO / HL","EXW","USD/kg","0.55","0.07","1-Jan-21",""
"Fresh Fruit","Lime","Conventional","unpacked","Southern Asia","SPO / HL","EXW","USD/kg","0.41","0.12","1-Jan-21",""
"Fresh Fruit","Lime","Organic","for processing","worldwide","SPO / HL","FOB","USD/kg","Commercial price","15% of the commercial price","1-Jan-21",""
"Fresh Fruit","Lime","Organic","packed","Central America, Mexico, and the Caribbean","SPO / HL","FOB","USD/kg","1.26","0.12","1-Jan-21",""
"Fresh Fruit","Lime","Organic","packed","Colombia","SPO / HL","FOB","USD/kg","1.09","0.12","1-Jan-21",""
"Fresh Fruit","Lime","Organic","packed","South America (except Colombia)","SPO / HL","FOB","USD/kg","0.88","0.07","1-Jan-21",""
"Fresh Fruit","Lime","Organic","packed","Southern Asia","SPO / HL","FOB","USD/kg","0.69","0.12","1-Jan-21",""
"Fresh Fruit","Lime","Organic","packed","worldwide (exc. countries/regions with specific prices)","SPO / HL","FOB","USD/kg","1.26","0.12","1-Jan-21",""
"Fresh Fruit","Lime","Organic","unpacked","Central America, Mexico, and the Caribbean","SPO / HL","EXW","USD/kg","0.96","0.12","1-Jan-21",""
"Fresh Fruit","Lime","Organic","unpacked","Colombia","SPO / HL","EXW","USD/kg","0.89","0.12","1-Jan-21",""
"Fresh Fruit","Lime","Organic","unpacked","South America (except Colombia)","SPO / HL","EXW","USD/kg","0.70","0.07","1-Jan-21",""
"Fresh Fruit","Lime","Organic","unpacked","Southern Asia","SPO / HL","EXW","USD/kg","0.55","0.12","1-Jan-21",""
"Fresh Fruit","Lychee","Conventional","for processing","Eastern Africa and Madagascar","SPO / HL","EXW","EUR/kg","0.39","0.04","19/Nov/12","excl. sulphur application cost & packaging"
"Fresh Fruit","Lychee","Conventional","for processing","South-Eastern Asia","SPO / HL","EXW","EUR/kg","0.39","0.04","27/Jan/14","excl. sulphur application cost & packaging"
"Fresh Fruit","Lychee","Conventional","","Eastern Africa and Madagascar","SPO / HL","EXW","EUR/kg","0.39","0.04","1/Nov/10","excl. sulphur application cost & packaging"
"Fresh Fruit","Lychee","Conventional","","Southern Africa (exc. Madagascar)","SPO / HL","EXW","EUR/kg","1.18","0.12","1/Nov/10","excl. sulphur application cost & packaging"
"Fresh Fruit","Lychee","Conventional","","Southern Africa (exc. Madagascar)","SPO / HL","FOB","EUR/kg","2.13","0.12","1/Nov/10",""
"Fresh Fruit","Lychee","Organic","for processing","Eastern Africa and Madagascar","SPO / HL","EXW","EUR/kg","0.41","0.04","19/Nov/12","excl. sulphur application cost & packaging"
"Fresh Fruit","Lychee","Organic","for processing","South-Eastern Asia","SPO / HL","EXW","EUR/kg","0.41","0.04","27/Jan/14","excl. sulphur application cost & packaging"
"Fresh Fruit","Lychee","Organic","","Eastern Africa and Madagascar","SPO / HL","EXW","EUR/kg","0.41","0.04","1/Nov/10","excl. sulphur application cost & packaging"
"Fresh Fruit","Lychee","Organic","","Southern Africa (exc. Madagascar)","SPO / HL","EXW","EUR/kg","1.25","0.12","1/Nov/10","excl. sulphur application cost & packaging"
"Fresh Fruit","Lychee","Organic","","Southern Africa (exc. Madagascar)","SPO / HL","FOB","EUR/kg","2.19","0.12","1/Nov/10",""
"Fresh Fruit","Mango","Conventional","for processing; Alphonso","Southern Asia","SPO / HL","EXW","USD/kg","0.28","0.055","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Conventional","for processing; Kesar","Southern Asia","SPO / HL","EXW","USD/kg","0.28","0.045","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Conventional","for processing","Central America, Mexico & Caribbean","SPO / HL","EXW","USD/kg","0.2","0.03","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Conventional","for processing","South America","SPO / HL","EXW","USD/kg","0.2","0.03","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Conventional","for processing","South-Eastern Asia","SPO / HL","EXW","USD/kg","0.4","0.05","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Conventional","for processing","Southern Asia","SPO / HL","EXW","USD/kg","0.07","0.025","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Conventional","for processing","Western Africa","SPO / HL","EXW","EUR/kg","0.14","0.03","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Conventional","for processing","worldwide (exc. countries/regions with specific prices)","SPO / HL","EXW","USD/kg","0.2","0.03","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Conventional","nam dok mai","South-Eastern Asia","SPO / HL","EXW","USD/kg","1.18","0.14","1/Jan/20",""
"Fresh Fruit","Mango","Conventional","","Central America, Mexico & Caribbean","SPO / HL","EXW","USD/kg","0.62","0.09","1/Jan/20",""
"Fresh Fruit","Mango","Conventional","","Central America, Mexico & Caribbean","SPO / HL","FOB","USD/kg","0.85","0.14","1/Jan/20",""
"Fresh Fruit","Mango","Conventional","","South America","SPO / HL","EXW","USD/kg","0.62","0.09","1/Jan/20",""
"Fresh Fruit","Mango","Conventional","","South America","SPO / HL","FOB","USD/kg","0.8","0.14","1/Jan/20",""
"Fresh Fruit","Mango","Conventional","","South-Eastern Asia","SPO / HL","EXW","USD/kg","0.51","0.07","1/Jan/20",""
"Fresh Fruit","Mango","Conventional","","Southern Asia","SPO / HL","EXW","USD/kg","0.51","0.07","1/Jan/20",""
"Fresh Fruit","Mango","Conventional","","Western Africa","SPO / HL","EXW","EUR/kg","0.17","0.08","1/Jan/20",""
"Fresh Fruit","Mango","Conventional","","Western Africa","SPO / HL","FOB","EUR/kg","0.56","0.08","1/Jan/20",""
"Fresh Fruit","Mango","Conventional","","worldwide (exc. countries/regions with specific prices)","SPO / HL","EXW","USD/kg","0.62","0.09","1/Jan/20",""
"Fresh Fruit","Mango","Organic","for processing; Alphonso","Southern Asia","SPO / HL","EXW","USD/kg","0.336","0.055","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Organic","for processing; Kesar","Southern Asia","SPO / HL","EXW","USD/kg","0.336","0.045","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Organic","for processing","Central America, Mexico & Caribbean","SPO / HL","EXW","USD/kg","0.22","0.03","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Organic","for processing","South America","SPO / HL","EXW","USD/kg","0.22","0.03","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Organic","for processing","South-Eastern Asia","SPO / HL","EXW","USD/kg","0.44","0.05","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Organic","for processing","Southern Asia","SPO / HL","EXW","USD/kg","0.09","0.025","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Organic","for processing","Western Africa","SPO / HL","EXW","EUR/kg","0.16","0.03","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Organic","for processing","worldwide (exc. countries/regions with specific prices)","SPO / HL","EXW","USD/kg","0.22","0.03","1/Jan/20","For Hired Labour organizations, mango for processing does not include mango for drying nor dried mango (except for Ghana and South Africa). Prices for mango for processing applies to dried mango sold under Fairtrade terms by applying the specific producers’ conversion ratios and adding the specific costs of processing."
"Fresh Fruit","Mango","Organic","nam dok mai","South-Eastern Asia","SPO / HL","EXW","USD/kg","1.3","0.14","1/Jan/20",""
"Fresh Fruit","Mango","Organic","","Central America, Mexico & Caribbean","SPO / HL","EXW","USD/kg","0.72","0.09","1/Jan/20",""
"Fresh Fruit","Mango","Organic","","Central America, Mexico & Caribbean","SPO / HL","FOB","USD/kg","0.95","0.14","1/Jan/20",""
"Fresh Fruit","Mango","Organic","","South America","SPO / HL","EXW","USD/kg","0.72","0.09","1/Jan/20",""
"Fresh Fruit","Mango","Organic","","South America","SPO / HL","FOB","USD/kg","0.9","0.14","1/Jan/20",""
"Fresh Fruit","Mango","Organic","","South-Eastern Asia","SPO / HL","EXW","USD/kg","0.56","0.07","1/Jan/20",""
"Fresh Fruit","Mango","Organic","","Southern Asia","SPO / HL","EXW","USD/kg","0.56","0.07","1/Jan/20",""
"Fresh Fruit","Mango","Organic","","Western Africa","SPO / HL","EXW","EUR/kg","0.19","0.08","1/Jan/20",""
"Fresh Fruit","Mango","Organic","","Western Africa","SPO / HL","FOB","EUR/kg","0.66","0.08","1/Jan/20",""
"Fresh Fruit","Mango","Organic","","worldwide (exc. countries/regions with specific prices)","SPO / HL","EXW","USD/kg","0.72","0.09","1/Jan/20",""
"Fresh fruit","Mangosteen  (Garcinia mangostana)","Conventional","fresh","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the Commercial price","13/Apr/18",""
"Fresh fruit","Mangosteen  (Garcinia mangostana)","Organic","fresh","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the Commercial price","13/Apr/18",""
"Fresh Fruit","Marula","Conventional","for processing","Africa","SPO","EXW","USD/kg","Commercial price","0.025","15/Jul/10",""
"Fresh Fruit","Marula","Organic","for processing","Africa","SPO","EXW","USD/kg","Commercial price","0.025","15/Jul/10",""
"Fresh Fruit","Melon  (Cucumis Melo)","Conventional","for processing","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","4/Mar/13",""
"Fresh Fruit","Melon  (Cucumis Melo)","Conventional","","Worldwide","SPO / HL","EXW","USD/kg","Commercial price","0.1","19/Sep/11",""
"Fresh Fruit","Melon  (Cucumis Melo)","Conventional","","Worldwide","SPO / HL","FOB","USD/kg","Commercial price","0.1","19/Sep/11",""
"Fresh Fruit","Melon  (Cucumis Melo)","Organic","for processing","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","4/Mar/13",""
"Fresh Fruit","Melon  (Cucumis Melo)","Organic","","Worldwide","SPO / HL","EXW","USD/kg","Commercial price","0.1","19/Sep/11",""
"Fresh Fruit","Melon  (Cucumis Melo)","Organic","","Worldwide","SPO / HL","FOB","USD/kg","Commercial price","0.1","19/Sep/11",""
"Fresh Fruit","Mini Watermelon","Conventional","not exceeding 3.2 kg in weight","Worldwide","SPO / HL","EXW/FOB","USD/kg","Commercial price","0.04","31/Mar/11",""
"Fresh Fruit","Mini Watermelon","Organic","not exceeding 3.2 kg in weight","Worldwide","SPO / HL","EXW/FOB","USD/kg","Commercial price","0.04","31/Mar/11",""
"Fresh Fruit","Nectarine","Conventional","","Argentina","SPO / HL","EXW","USD/kg","0.27","0.07","15/Nov/07","excluding packing"
"Fresh Fruit","Nectarine","Conventional","","Argentina","SPO / HL","EXW","USD/kg","0.43","0.07","15/Nov/07","including packing"
"Fresh Fruit","Nectarine","Conventional","","Southern Africa","SPO / HL","EXW","ZAR/kg","18","3","1/Dec/09",""
"Fresh Fruit","Nectarine","Conventional","","Southern Africa","SPO / HL","FOB","ZAR/kg","20","3","1/Dec/09",""
"Fresh Fruit","Nectarine","Organic","","Southern Africa","SPO / HL","EXW","ZAR/kg","22","3","1/Dec/09",""
"Fresh Fruit","Nectarine","Organic","","Southern Africa","SPO / HL","FOB","ZAR/kg","24","3","1/Dec/09",""
"Fresh Fruit","Orange","Conventional","for juice","Worldwide","SPO / HL","EXW","USD/40.8 Kg","5","0.5","7/Jan/19","for processing in consumer countries"
"Fresh Fruit","Orange","Conventional","Navel","Argentina","SPO / HL","EXW","USD/kg","0.12","0.02","21/Mar/05","pre-packed"
"Fresh Fruit","Orange","Conventional","Navel","South Africa","SPO / HL","FOB","ZAR/kg","3.19","0.47","21/Mar/05",""
"Fresh Fruit","Orange","Conventional","Valencia","Argentina","SPO / HL","EXW","USD/kg","0.12","0.02","21/Mar/05","pre-packed"
